ファイル名,レベル（ディレクトリ）,レベル（JSON内）,tipsName,targetPersona,problemToSolve,traditionalMethodDiagram,aiMethodDiagram,solutionText,step1Headline,step1Example,step2Headline,step2Example,step3Headline,step3Example,effect
01_beginner_organize-thoughts.json,初級,初級,ごちゃごちゃな頭の中を、AIに話すだけでスッキリ整理する「最初の感動」体験術,AIに初めて触れる方、やることが多くて何から手をつければいいか分からないと感じているすべての人,頭の中にやることリストや心配事がごちゃ混ぜになり、思考が停止してしまう。AIとの対話を通じて、思考が整理されるという「AIの基本的なお役立ち度」を実感する最初のステップです。,【AI登場以前】手帳にタスクを書き出す。→ でも、どれも大事に思えて優先順位がつけられない。→ 結局、目の前の簡単な作業から手をつけてしまい、本当に重要なことが後回しになる。,【超AI独学法】AIに「ちょっと聞いて！頭がごちゃごちゃなんだ」と話しかける。→ 思いつくままに話す。→ AIが客観的に情報を整理してくれる。→ 「なるほど、こう考えればいいのか！」というAIの基本的な便利さに気づく。,私たちの頭の中は、たくさんの情報で散らかった部屋のようなものです。AIは、そんなあなたの思考を片付けてくれる、親切なアシスタントです。あなたが頭の中にあることをただ話すだけで、「まず、この3つから始めてみてはいかがでしょう？」と、客観的な視点から優しく整理してくれます。この体験は、「AIって、案外簡単で、すごく便利なんだ！」と感じるための、感動的な第一歩となるでしょう。,Step1：「AIって何だろう？」まずは気軽に話しかけてみる,「こんにちは。少し、頭の中の整理を手伝ってもらえますか？」と、まずはAIに話しかけてみましょう。完璧な文章である必要はありません。AIとの対話を始めることが、最初のゴールです。,Step2：完璧を目指さず、思いつくままに話してみる,「明日のプレゼン資料も作らなきゃだし、来週の会議の準備もある。あ、経費の精算も溜まってるんだった…」というように、順番や重要度を気にせず、思いつくままに話します。AIは、どんなにまとまりのない話でも、辛抱強く聞いてくれます。,Step3：AIに「整理して」とシンプルにお願いする,すべて話し終えたら、「今の話を整理して、今日私が集中すべきことを3つだけ教えてください」と、シンプルにお願いしてみましょう。AIは即座に内容を分析し、「今日はプレゼン資料の完成に集中するのが良さそうです」といった、分かりやすいアドバイスをくれます。,わずか10分AIと対話するだけで、その日1日の行動計画が驚くほど明確なります。AIが自分の思考を客観的に整理してくれる便利さを実感し、「AIって使えるかも！」というポジティブな第一印象を持つことができます。頭の中がスッキリすることで、心にも余裕が生まれます。
02_kyoko_beginner_web-summary.json,初級,初級,長いWeb記事をAIに要約させ、「タイパ」が爆上がりする体験術,情報収集に時間をかけたくない、かけられないと感じている方、AIの基本的な能力を手軽に試してみたい方,情報収集はしたいけど、長い記事を全部読むのは面倒くさい。AIを使って「時間をかけずに賢くなる」という、最も分かりやすい成功体験を得るためのTipsです。,【AI登場以前】たくさんのWebページを開きっぱなしにする。→ 一つずつ流し読みするが、途中で飽きてしまう。→ 結局、どの記事に何が書いてあったかよく分からず、情報収集だけで疲れてしまう。,【超AI独学法】気になる記事のURLをAIに渡す。→ 「この記事、3行で教えて」とお願いするだけ。→ AIが瞬時に記事を読んで、要点だけを教えてくれる。→ 「AI、すごい！賢い！」という感動を手軽に味わえる。,現代は情報が多すぎて、すべてを真面目に読むのは不可能です。AIは、人間が何十分もかけて読むような長い記事でも、数秒でその核心を見抜くことができます。この記事の要約機能は、「AIってこんなに便利なものだったのか！」という感動を、最も手軽に、そして最も分かりやすく体験させてくれる最高の入り口です。AIに面倒な作業を任せ、自分は最も重要な「判断」に集中する。その第一歩を、ここから始めましょう。,Step1：要約してほしい記事のURLをコピーする,情報収集中に見つけた、全部読むのが大変そうなWeb記事やニュースのURLをコピーしておきます。まずは一本の記事から試してみましょう。,Step2：AIに「〇〇して」とシンプルにお願いする,ChatGPTやCopilotなどのAIチャットを開き、コピーしたURLを貼り付けます。そして、「この記事を3行で要約して」「この記事の結論だけを教えて」のように、シンプルにお願いしてみましょう。AIは快く引き受けてくれます。,Step3：AIの仕事ぶりを見て、その賢さを実感する,AIが瞬時に生成した要約を読み、記事の全体像を把握します。AIの要約が分かりやすければ、その記事はあなたにとって読む価値がないかもしれません。逆に、要約を読んで「もっと詳しく知りたい！」と思えば、その時初めて全文をじっくり読めば良いのです。AIが、あなたの貴重な時間を節約してくれた瞬間です。,情報収集の効率が劇的に向上し、「タイパ（タイムパフォーマンス）」が爆上がりする快感を味わえます。情報の洪水に溺れることなく、自分にとっ本当に重要な情報だけを選び取るという、AI時代の基本的なスキルが身につきます。
03_tatsuya_beginner_personalized-news-report.json,初級,初級,AIを「あなただけの情報収集アシスタント」に任命し、毎朝のニュースチェックを自動化する術,業界の最新情報を追いかけたいが、忙しくてニュースを読む時間がない方、情報収集を効率化する第一歩を踏み出したい方,毎日たくさんのニュースが流れてきて、どれが自分に関係のある重要な情報なのか分からない。情報収集という単純作業に、貴重な朝の時間を使いたくない、という課題を解決します。,【AI登場以前】毎朝、複数のニュースサイトを巡回する。→ 情報が多すぎて、全部読みきれない。→ 大事なニュースを見逃してしまうこともある。→ 結局、情報収集だけで1時間もかかってしまう。,【超AI独学法】AI検索エンジンに「私の専門分野（AIと人事）について、この1週間で最も重要なニュースを3つにまとめて。特にライバル会社A社の動きに注目してね」と一度だけお願いしておく。→ 毎週、AIが自動で情報を集めて要約し、あなた専用のニュースレポートを届けてくれる。,情報収集の価値は、情報の速さと、それが「自分にとって」重要かどうかを見極めることにあります。AI検索エンジン（Perplexityなど）は、あなた専用の超優秀な情報収集アシスタントです。一度あなたの興味や関心を教えておけば、あとはAIが24時間365日、あなたのために情報を集め続け、最も重要なニュースだけを厳選して分かりやすく要約し、毎朝届けてくれます。これにより、あなたは退屈な情報収集作業から解放され、朝の貴重な時間を、より創造的な思考のために使うことができるのです。,Step1：情報収集の「目的」と「キーワード」をAIに教える,まず、何のために、どんな情報を集めたいのか明確にします。例：「目的：自社のマーケティング戦略の参考にしたい」「キーワード：『SaaS業界』『BtoBマーケティング』『最新事例』」「いらない情報：採用、人事異動」,Step2：AIに「専属リサーチャー」として、具体的な調査を依頼する,PerplexityなどのAI検索エンジンを開き、定義した目的とキーワードを基に、具体的な質問を作成します。「あなたは私の専属リサーチャーです。SaaS業界のBtoBマーケティングに関する最新の成功事例を、直近1ヶ月のニュースから3つ挙げ、それぞれが成功した理由を簡潔に解説してください」とお願いしてみましょう。,Step3：その調査を「定期実行」させ、情報収集を完全に自動化する,作成した質問を、定期的に実行するよう設定します。多くのAIツールや、自動化ツールと連携することで、「毎週月曜の朝9時にこのプロンプトを実行し、結果をSlackに通知するといったワークフローを構築できます。これにより、あなたはもうニュースサイトを巡回する必要はありません。,業界の最新動向や競合の動きを、最小限の時間でキャッチアップできます。情報収集という作業から解放され、得られた情報をどう活用するかという、より戦略的な思考に時間を使えるようになります。常に最新の情報で武装することで、ビジネスの意思決定の質が向上します。
04_advanced_ai-research-agent.json,初級,初級,AIにあなた専用の「リサーチチーム」を作らせて、知りたい情報を自動で集める術,情報収集に時間を取られすぎて、本当に大切な仕事に集中できないビジネスパーソン、研究者、企画担当者,毎日たくさんのニュースをチェックしても、本当に重要な情報を見つけ出すのが大変で、結局時間の無駄になっている気がするという課題を解決します。,【従来の独学法】毎朝1時間かけてニュースサイトをチェック → 情報が多すぎて頭がパンク → どれが重要か分からなくなる → 結局、他の人から聞いた話に頼ってしまう → 大事な情報を見逃すことがある,【超AI独学法】AIに「私の専属リサーチチームになって」とお願いする → 興味のある分野やキーワードを教える → AIが毎朝自動で情報を集めて分析 → 最も重要なニュース5つだけをレポートしてくれる → 情報収集がたった5分で完了する,情報収集は大切ですが、時間をかけすぎるのはもったいないです。AIをあなた専用のリサーチチームに任命すれば、世界中の情報の中から、あなたにとって本当に価値のある情報だけを自動で集めてくれます。まるで優秀な秘書チームが、大量の新聞や雑誌から必要な記事だけを切り抜いてくれるように、情報収集の時間を劇的に短縮し、あなたの知的生産性を最大限に高めてくれるのです。,Step1：AIに「専属リサーチャー」の役割を与える,「あなたは私のために働く、超優秀なリサーチ担当者です」とAIにお願いします。そして、あなたの専門分野（例：AI業界、マーケティング）、知りたいキーワード（例：生成AI、DX人材）、信頼しているニュースサイトなどを具体的に教えます。,Step2：欲しいレポートの「型」を教える,毎朝9時に届けてほしいレポートの形式を具体的に指示します。「一番大事なニュースを1行で」「トップ5ニュースをそれぞれ3行で要約」「業界にどんな影響があるか」「私へのアドバイス」といったシンプルな構成でお願いしましょう。,Step3：AIを「育てる」フィードバック,AIが届けてくれたレポートに、「このニュースはあまり関係ないかな」「このニュースサイトの情報はとても参考になる」といった感想を伝えます。これを繰り返すことで、AIはあなたの好みを学習し、どんどん賢いリサーチャーに成長していきます。,毎日の情報収集が1時間から5分に短縮され、企画を考えたり、文章を書いたりといった、あなにしかできない創造的な仕事に集中できます。業界の重要な動きを見逃さなくなり、常に最新の情報でビジネスの判断ができます。自分向けにカスタマイズされた質の高い情報だけが手に入るので、情報に振り回されることがなくなります。
05_tatsuya_beginner_gemini-in-workspace.json,初級,初級,GmailやGoogleドライブにいるAIに「あの件どうだっけ？」と聞くだけで、情報を一瞬で探し出す術,「あのファイル、どこに保存したかな？」「あのメール、誰からだっけ？」と、パソコンの中から情報を探すのに多くの時間を費やしている方,プロジェクトの情報が、Gmail、Googleドライブ、Googleドキュメントなど、あちこちに散らばっていて、必要な情報を探すのが大変…という、誰もが経験する課題を解決します。,【AI登場以前】Gmailの検索窓でキーワードを打ち込み、大量のメールから目的のものを必死で探す。→ 次にGoogleドライブでも同じように検索し、ファイルを一つずつ開いて中身を確認する。→ この繰り返しで、探すだけで一苦労。,【超AI独学法】GmailやGoogleドキュメントの横にいるGemini（AI）に、「@gmail @docs 『αプロジェクト』に関するこの1ヶ月のやり取りと、大事な決定事項をまとめて」と話しかけるだけ。→ Geminiがメールやドキュメントを横断的に探し、一つのレポートにまとめてくれる。,仕事の情報は、メール、チャット、ファイルなど、様々な場所に断片的に保存されています。この情報の散らかりこそが、私たちの生産性を下げる大きな原因です。Google Workspaceに搭載されたAI「Gemini」は、アプリの壁を越えて、あなたの情報を横断的に探し、整理する能力を持っています。あなたが「あの件どうだっけ？」とAIに尋ねるだけで、まるで優秀なアシスタントが関連資料を全て集めてくれるように、必要な情報を瞬時に手に入れることができるのです。,Step1：Geminiに「@」を使って、探してほしい場所を教える,GmailやGoogleドキュメントなどの画面右側にあるGeminiアイコンをクリックして、AIを呼び出します。質問を入力する欄で「@」を押すと、「Gmail」「Google ドライブ」などの候補が出てくるので、情報を探したい場所を選びましょう。,Step2：探している情報の「キーワード」や「期間」を伝える,探す場所を指定したら、キーワードや期間を伝えます。「@gmail @drive 『ABC商事との契約』に関する、今年のやり取りを全部探して」のように、複数の場所とキーワードを組み合わせるのがコツです。,Step3：見つかった情報を、さらに「要約」してもらう,Geminiが関連情報を見つけ出したら、次はその内容を要約してもらいます。「見つかった情報を時系列に並べて、重要なポイントを3つにまとめて」「Aさんから送られてきた様書の添付ファイルへのリンクを教えて」とお願いすれば、膨大な情報の中から核心部分だけを効率的に知ることができます。,必要な情報を探す時間が劇的に短縮され、情報の見落としがなくなります。あちこちのアプリに散らばった情報を、頭の中で整理するという認知的な負担から解放されます。過去の経緯や文脈を瞬時に把握できるため、より速く、的確な判断ができるようになります。
06_kyoko_intermediate_copilot-coaching.json,初級,初級,AI先生に文章を添削してもらい、ビジネスメールの苦手意識を克服する術,自分が書いたメールやチャットの文章が、相手に失礼だと思われないか、いつも不安に感じてしまう方,自分で書いたメールの文章が、相手に失礼になっていないか、意図が正確に伝わるか不安で、送信ボタンを押すのに時間がかかってしまう…という課題を解決します。,【AI登場以前】ビジネスメールの書き方の本を読む。→ 何度も文章を書き直してみる。→ 上司や先輩に確認してもらうが、毎回頼むのは気が引ける。→ 結局、不安なまま送信する。,【超AI独学法】自分で書いたメールの下書きをCopilot（AI機能）に見せる。→ 「この文章、もっとプロっぽくして」「もっと丁寧な言い方にして」とお願いする。→ AIが具体的な修正案（言葉遣い、構成、丁寧さ）を教えてくれる。,ビジネスコミュニケーションでは、内容の正しさと同じくらい、「伝え方」が重要です。文章に対する不安の根本原因は、客観的なアドバイスをもらう機会が少ないことにあります。Microsoft Copilotの「コーチング機能」は、あなた専用の文章の先生です。AIがあなたの文章を分析し、「この表現は少しきつく聞こえるかもしれません。代わりに『〜していただけますでしょうか』という表現はいかがでしょう」といった形で、具体的な改善案を教えてくれます。これにより、誰にも気兼ねなく、文章力を客観的に磨くことができます。,Step1：添削してほしい下書きの文章を用意する,ず、OutlookやWordで、自分で下書きしたメールや文書を用意します。完璧でなくても大丈夫です。伝えたいことが大体書けている状態の文章を用意しましょう。,Step2：Copilotの「コーチング」機能を呼び出す,作成した文章を選んだ状態で、Copilotのメニューから「コーチング」や「文章の改善」といった機能を選択します。すると、Copilotが自動であなたの文章を分析し始めます。,Step3：AI先生からの提案を確認し、文章を修正する,Copilotは、元の文章の横に、改善案を提示してくれます。「表現の分かりやすさ」「丁寧さ」といった観点で、どこがどう改善されたのかが一目で分かります。内容を確認し、納得できれば「採用」ボタンを押すだけで、あなたの文章がより洗練されたものに生まれ変わります。,自分の文章を客観的に見直す機会が得られ、ビジネスコミュニケーションの質が向します。相手に与える印象が良くなり、信頼関係を築きやすくなります。文章に対する自信がつき、コミュニケーションがもっとスムーズになります。
07_kyoko_beginner_simplification.json,初級,初級,専門用語や社内用語を、AIに「通訳」させて誰にでも伝わる言葉にする術,専門用語や社内だけで通じる言葉をつい使ってしまい、他部署の人やお客様との会話が噛み合わないことがある方,自分では当たり前に使っている専門用語や社内用語が、他部署の人やお客様には全く通じず、話が噛み合わない…という課題を解決します。,【AI登場以前】自分の部署の常識で説明してしまう。→ 相手の表情が「？」となっているのに気づかず、一方的に話し続ける。→ 結果、言いたいことが全く伝わらず、誤解が生まれる。,【超AI独学法】AIに「この文章を、IT部署以外の人にも分かるように、専門用語なしで書き換えて」「この社内用語『〇〇』を、初めて聞く人にも分かるよう、具体的な例を挙げて説明して」とお願いする。→ AIが、相手の知識レベルに合わせて、分かりやすい言葉に「通訳」してくれる。,スムーズなコミュニケーションの秘訣は、「相手が分かる言葉で話す」ことです。この問題の根本は、私たちが無意識のうちに「自分たちの当たり前」を相手に押し付けていることにあります。AIは、異なる知識を持つ人々の間に立つ、超優秀な「通訳者」です。専門的な内容を、身近な例え話を交えながら、誰にでも理解できる簡単な言葉に変換するのが得意です。AIに通訳してもらうことで、部署や会社の違いを乗り越え、スムーズな意思疎通が可能になります。,Step1：「通訳」してほしい文章や言葉を用意する,まず、お客様への提案書や、他部署へのお願いメールなど、専門用語や社内用語が含まれている文章を用意します。,Step2：AIに「誰に」伝えたいのかを教える,AIに文章を見せて、「この文章を、経理部の〇〇さん（ITは苦手）に説明するための原稿に書き換えて」「小学生にも分かるように、この技術の仕組みを説明して」のように、聞き手のキャラクターを具体的に設定することが成功のコツです。,Step3：AIが作った「通訳案」を、自分の言葉として使ってみる,AIは、「API連携とは、例えるならレストランのウェイターです。お客様（アプリA）からの注文（データ貸して）を厨房（アプリB）に伝え、出来上がった料理（データ）を席まで運んでくれます」といった、分かりやすい例え話を作ってくれます。その表現を参考に、自分の言葉として自然に話せるように練習しましょう。,専門知識がない相手にも、複雑な内容を正確かつ分かりやすく伝えることができます。コミュニケーションのすれ違いが減り、仕事がスムーズに進むようになります。相手の視点に立って考えるクセがつき、あなたのコミュニケーション能力そのものが向上します。
08_tatsuya_beginner_word-to-powerpoint.json,初級,初級,Word文書をAIに渡すだけで、PowerPoint資料を自動で作成させる術,Wordで作った報告書の内容を、手作業でパワポに作り直すのが面倒だと感じている方,Wordで作った詳しい報告書や議事録を、プレゼン用にPowerPointのスライドに手作業でコピペして要約するのが非常に面倒くさい、という課題を解決します。,【AI登場以前】パソコンの画面半分にWordを、もう半分にPowerPointを開く。→ Wordからコピペし、箇条書きに直し、スライドの見た目を整える。→ 元のWordを修正したら、パワポも手で直さなければならず、二度手間になる。,【超AI独学法】完成したWord文書を開いたまま、PowerPointのCopilot（AI機能）を起動。「このWord文書からプレゼン資料を作って」とお願いするだけ。→ AIがWord文書の構成を理解し、タイトル、目次、各スライドの要約、さらには発表者用のメモまで含んだ資料の骨子を自動で作ってくれる。,報告書とプレゼン資料は、結局のところ同じ内容を違う形で見せているだけです。この面倒な作業の根本原因は、文章（Word）から図解（PowerPoint）への変換を、私たち人間が手作業で行っている非効率さにあります。Microsoft Copilotは、Word文書の見出しの構造を理解し、それをプレゼンテーションの骨格として自動的に変換する能力を持っています。Wordの大見出しがスライドのタイトルに、中見出しが箇条書きになるなど、文書の論理的な構成を保ったまま、瞬時にプレゼン資料のたたき台を作成します。これにより、あなたは面倒なコピペ作業から解放されるのです。,Step1：Word文書の「見出し」を正しく設定する（最重要！）,まず、パワポにしたいWord文書を用意します。AIが文書の構造正しく理解できるように、「ホーム」タブの「スタイル」機能を使って、章のタイトルに「見出し1」、節のタイトルに「見出し2」をそれぞれ設定しておくことが、成功の最大のコツです。,Step2：PowerPointのCopilotに、Word文書の場所を教える,新しいPowerPointを開き、「ホーム」タブにある「Copilot」ボタンを押します。出てきたメニューから「ファイルからプレゼンテーションを作成」を選び、先ほど準備したWord文書を指定しましょう。,Step3：AIが作ったスライドを確認し、デザインを整える,CopilotがWord文書を分析し、プレゼン資料のドラフトを自動で作ってくれます。各スライドの内容がきちんと要約されているかを確認しましょう。その後、「デザイナー」機能を使えば、ワンクリックでスライド全体のデザインをおしゃれに変更できます。Copilotが提案してくれる発表者用のメモも、プレゼンの参考なります。,報告書からプレゼン資料を作る時間が劇的に短縮され、数時間かかっていた作業が数分で終わります。コピペミスや要約の抜け漏れがなくなり、資料の質が安定します。資料作成の二度手間から解放され、プレゼンの内容を考えるという、より本質的な仕事に集中できます。
09_kyoko_advanced_copilot-illustration.json,初級,初級,パワポでAIに「いい感じの図」を作ってもらい、資料を分かりやすくする術,プレゼン資料で、文章だけでは伝わりにくい複雑な話を、図やイラストで分かりやすく表現したいが、デザインセンスに自信がない方,プレゼン資料を作る時、複雑な関係性を分かりやすく図で表現したいけど、デザインセンスがなくてダサい図しか作れない。結局、作図にものすごく時間がかかってしまう…という課題を解決します。,【AI登場以前】PowerPointの図形機能を頑張って使い、手作業で図を作る。→ 配置や色の組み合わせに悩み、時間をかけても素人っぽい図しか作れない。→ 結局、フリー素材サイトでイメージに合うイラストを探し回る羽目になる。,【超AI独学法】PowerPointのCopilot（AI機能）に、「『戦略』『チームワーク』『成長』の3つがぐるぐる回る感じを、おしゃれなイラストで作って」とお願いするだけ。→ AIが数秒で、指示に合った高品質な図やイラストを何パターンか提案してくれる。,「百聞は一見に如かず」と言うように、一枚の優れた図は、長い文章よりもずっと多くの情報を直感的に伝えることができます。しかし、多くのビジネスパーソンはデザインの専門家ではありません。Microsoft Copilotは、あなたが言葉で伝えた抽象的なイメージを、具体的なビジュアルに変換する能力を持っています。デザインの知識がなくても、「〜な感じのイラスト」とお願いするだけで、AIが文脈に合った図やイラストを自動で作ってくれます。これにより、誰でも自分の考えを効果的に「見える化」し、コミュニケーションの質を劇的に向上させることができるのです。,Step1：図にしたい「イメージ」を言葉にする,まず、どんな図やイラストが欲しいのかを、具体的な言葉で表現します。例えば、「3つの部署（営業、開発、マーケ）が協力して、顧客という一つの目標に向かっている様子」「『計画→実行→評価→改善』のPDCAサイクルが、らせん階段を上っていくようなイメージ」のように書き出してみましょう。,Step2：Copilotに「デザインの雰囲気」も一緒に伝える,PowerPointのリボン（上部のメニュー）からCopilotを呼び出し、言葉にしたイメージと、希望するデザインの雰囲気を伝えます。「『3C分析』のフレームワークを、シンプルで知的な感じのアイコンを使って図解して」「会社のロゴカラーの青をベースに、水彩画みたいな優しいタッチで『持続可能な社会』を表現して」とお願いしてみます。,Step3：AIの提案から選び、さらにお願いして修正する,Copilotは、あなたの指示に基づいていくつかのデザイン案を提案してくれます。その中からイメージに一番近いものを選んで、スライドに挿入します。もし少し違ったら、「もっとシンプルな線にして」「人物を動物のキャラクターに変えて」のように、AIと対話しながら修正していくことで、理想のイラストに近づけることができます。,資料作成の時間が大幅に短縮され、デザインの専門知識がなくても、プロ並みで分かりやすい図やイラストを作成できます。聞き手の理解度が上がり、プレゼンや報告書の説得力が飛躍的に高まります。
10_tatsuya_beginner_voice-memo-structuring.json,初級,初級,移動中にひらめいたアイデアを、AIに話すだけで「構造化メモ」に残す術,歩いている時や電車の中など、PCを開けない時に限って良いアイデアが浮かぶが、すぐに忘れてしまう方,移動中に良いアイデアが浮かんでも、メモを取る前に忘れてしまう。キーワードだけメモしても、後から見返すと何のことか思い出せない、という課題を解決します。,【AI登場以前】スマホのメモ帳に急いでキーワードを打ち込む。→ 後から見返しても、なぜこの言葉をメモしたのか思い出せない。→ せっかくのアイデアが消えてしまう。ボイスメモに録音しても、後で聞き返すのが面倒くさい。,【超AI独学法】スマホのAIアプリ（ChatGPTなど）の音声入力モードを起動。→ 「ねぇ、アイデアの壁打ちしていい？来週の企画会議の件なんだけど…」と思いついたことをそのまま話す。→ 最後に「今の話を整理して、要点と次にやるべきことをまとめて」とお願いする。→ AIが議事録のような綺麗なメモを自動で作ってくれる。,ひらめきは、突然やってきて、あっという間に消えてしまいます。その貴重な瞬間を逃さないための最強の武器が、AIを搭載した音声入力機能です。これは単なる文字起こしツールではありません。あなたが考えながら話す内容の「意味」をAIが理解し、それを論理的に整理整頓してくれるのです。まるで優秀な秘書に話しかけるだけで、アイデアが自動的に構造化され、次に何をすべきかまで明確になります。ひらめきの熱量をそのまま、価値ある知的資産として記録ることができるのです。,Step1：ひらめいたら、すぐにAIに話しかける,移動中などにアイデアが浮かんだら、すぐにスマホのChatGPTやGeminiアプリを開き、ヘッドフォンマークをタップして音声会話を始めます。話すだけで、AIがリアルタイムに文字にしてくれます。,Step2：考えをそのまま口に出す,誰かに話すように、考えていることをそのまま言葉にします。「えーっと、来週のA社への提案だけど、課題はコストじゃなくてサポート体制だよな。だから、提案のポイントは…」のように、独り言でOKです。AIが文脈を理解してくれます。,Step3：最後に「今の話をまとめて」とお願いする,一通り話し終えたら、AIにまとめ役をお願いします。「ありがとう。今の私の話を基に、提案のポイント、考えられるリスク、今日中にやるべきことを箇条書きでまとめてください。」と指示しましょう。出来上がったテキストをコピーして、メモアプリなどに保存すれば完璧です。,いつでもどこでも、ひらめきを即座に価値あるメモとして記録できます。断片的なキーワードではなく、思考の背景や文脈ごと保存できるため、後から見返してもアイデアをすぐに思い出せます。移動時間などのスキマ時間を、創造的な仕事の時間に変えることができます。
